Year,Rank,Title,Author,INTRO,TB
2015,128,가족의 가족을 뭐라고 부르지?,채인선/배현주 그림,"나와 친척의 관계와 친척들을 부르는 바른 호칭을 알고, 가족의 소중함을 느끼자!주인공인 민규의 가족은 아빠, 엄마, 그리고 여동생 민지이다. 민규 아빠는 3남 1녀 중 둘째 아들이고 민규의 엄마는 2남 3녀 중 큰딸이다. 민규 아빠, 엄마의 형제자매들은 각각 결혼을 해서 새로운 가족을 꾸렸고 아이도 낳았다. 가족의 가족을 뭐라고 불러야 할까? 이 책에서 민규 친척들은, 다양한 가족 행사날 만나서 서로가 서로를 부르고 있다. 그림 속에서 민규 친척을 직접 찾다 보면 호칭은 저절로 익힐 수 있다.부르면 부를수록 마음의 거리는 점점 가까워집니다!『가족의 가족을 뭐라고 부르지?』는 아이들에게 복잡하고 헷갈리는 ‘가족 호칭’을 간결하게 정리하여 담아낸 책이다. 주인공 민규네 가족 이야기를 중심으로 흥미진진한 이야기와 삽화로 재미있게 설명해 가족 호칭에 대해 쉽게 이해할 수 있도록 구성했다. 할아버지, 할머니, 작은 아버지, 작은어머니 등 자주 보는 가족의 명칭부터 큰어머니 큰아버지의 자녀 ‘종형제’, 고모의 자녀 ‘내종형제’, ‘처남’, ‘처형’, ‘형님’, 처제‘ 등 부모님이 부르는 가족들의 명칭까지 다양하게 살펴볼 수 있다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2015,129,나이트 사파리에서 살아남기 2,곰돌이 co./한현동 그림/신남식 감수,"아슬아슬한 모험을 통해 과학 상식을 배우다!생존법은 물론, 각종 흥미진진한 과학 이슈와 오늘날 중요성이 강조되는 생명의 존엄성 및 환경 문제 등을 폭넓고 깊이 있게 다루는 「서바이벌 만화 자연상식」 시리즈 『나이트 사파리에서 살아남기』 제2권. 이 시리즈는 매 회 어린이는 물론 어른도 반드시 습득해야 할 ‘생존 기술’ 및 살아남기 위해 반드시 알아야 하는 ‘자연 과학 정보’를 소개합니다. 다양한 그래픽 및 삽화를 수록하여 아이들이 보다 흥미를 느끼고 쉽게 상식을 습득할 수 있도록 구성했습니다.사파리 전체가 폐쇄되며 동물들과 함께 갇혀 버린 지오 일행. 주주 회장과의 연락을 시도하지만 무슨 이유인지 통화가 되지 않고, 잠시 몸을 피하기 위해 들어간 상점에는 맹수의 사냥 흔적이 남아 있습니다. 주리는 파충류 관에서 탈출한 동물들을 피해 사파리를 벗어날 다른 출구를 생각해 내지만, 이곳 역시 울버린과 흑표범에게 이미 점령된 상황이었는데…. 과연 나이트 사파리는 무사히 개장할 수 있을까요?펼쳐보기","1장. 케이의 불길한 예감 - 10동물원 탈출 사건2장 기념품 상점의 수상한 물체 - 24냄새로 대화하기3장 방울뱀을 피하는 방법 - 40파충류가 사는 환경4장 전시관을 탈출한 거미 - 60거미줄로 먹이 잡기5장 사파리 부녀의 신경전 - 78동물의 몸 색깔6장 위험한 탈출 계획 - 96솜씨 좋은 사냥꾼, 족제빗과 동물7장 나무 위의 흑표범 - 116진화하는 동물원8장 나이트 사파리 구조 작전 - 134동물원에서 일하는 사람들9장 탈출한 맹수들 - 156펼쳐보기"
2014,1,흔한남매 13,"흔한남매, 백난도/유난희 그림/흔한컴퍼니 감수","흔한남매와 친구들이 펼치는 왁자지껄 웃음 가득한 일상!으뜸이와 에이미의 서프라이즈 장난 대결, 소풍 도시락 싸기 대작전, 신기하고 오싹한 꿈속의 꿈, 감동이 가득한 데이지의 성장 앨범, 갑자기 등장한 바퀴벌레에게서 살아남는 방법 등 흔한남매의 배꼽 잡는 일상 속으로 출발해 봅시다!유튜브 254만 구독 돌파! 인기 크리에이터 흔한남매‘흔한남매’는 유튜브 구독자 수가 254만 명, 누적 조회 수가 30억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극？콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다.‘유쾌한 우애’와 ‘순수한 웃음’으로,어린이들의 마음을 사로잡은 No.1 베스트셀러!《흔한남매》 시리즈는 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 유쾌한 우애와 순수한 웃음을 선사할 것입니다.펼쳐보기","01화 내 방에서 나가라고~!02화 방학 막바지에 이런 사람 꼭 있다!알쏭달쏭 다른 그림 찾기03화 서프라이즈 장난 대결04화 흔한남매, 반 배정 망하다?!나도 모르게 웃음이 터지는 아재 개그05화 오싹오싹 폭풍 공감 이야기06화 소풍 도시락 싸기 대작전!요리 금손 으뜸이의 시크릿 레시피07화 으뜸이를 위한 K-참교육!08화 오빠 친구, 장민철와글와글 진짜 장민철 찾기09화 꿈속의 꿈속의 꿈속의 꿈?!10화 데이지의 성장 앨범우당탕탕 홈 비디오11화 바둑이를 찾습니다!12화 바퀴벌레에게서 살아남기바글바글 숨은 바퀴벌레 찾기？펼쳐보기"
2014,2,설민석의 한국사 대모험 24,"설민석, 스토리박스/정현희 그림/강석화 감수","우리 아이 한국사 첫걸음,〈설민석의 한국사 대모험〉으로 시작하세요!2017년 1권이 처음 출간된 이래, 누적 판매 부수 500만 부라는 경이적인 수치를 기록하며 대한민국 대표 어린이 역사책으로 굳건히 자리매김한 〈설민석의 한국사 대모험〉! 〈설민석의 한국사 대모험〉은 아이들이 처음 접하는 한국사를 재미있는 만화와 깊이 있는 부록으로 쉽고, 재미있고, 유익하게 전달합니다. 이 책은 우리 아이들이 놀이하듯 즐겁게 한국사를 접하며 한국사에 관심을 가지고, 나아가 한국사를 사랑하는 어린이로 성장하게 도와줄 것입니다. 〈설민석의 한국사 대모험〉 24권에서는 병자호란의 결과와 이후의 이야기를 재미있는 만화로 담아냈습니다. 전쟁이 어떻게 끝을 맺고 어떤 결과를 가져왔는지 〈설민석의 한국사 대모험〉 24권에서 확인해 보세요!줄거리병자호란, 그 마지막 이야기가 펼쳐진다!평강과 다시 만날 날만 기다리는 온달! 마침내 약속한 날이 되자 온달은 평강을 구하러 가기 위해 매 할아버지와 성 밖으로 나섭니다. 그러다 조선인 포로들과 함께 있는 평강과 마주치는데…. 한편 전쟁이 길어질수록 남한산성 안 군사들과 백성들의 고통은 커져만 갑니다. 하지만 주화파와 척화파는 여전히 서로 맞서며 의견을 모으지 못하는데요. 조선을 향한 청나라의 압박은 점점 더 거세지고, 청나라군은 남한산성을 향해 대포를 쏘기 시작합니다. 벼랑 끝에 몰린 조선의 조정은 결국 어떤 결정을 내릴까요?펼쳐보기",머리말 4이 책의 구성과 특징 6등장인물 8프롤로그 그해 보름 10제1화 보름달 뜨는 밤 19제2화 벼랑 끝의 조선 71제3화 전쟁이 끝나고 난 뒤 123퀴즈 만화를 읽고 나면 문제도 풀려요! 167퀴즈 정답과 해설을 확인해요! 176〈설민석의 한국사 대모험〉 교과 연계표 180펼쳐보기
2014,3,긴긴밤,루리/루리 그림,"제21회 문학동네어린이문학상 대상 수상작 『긴긴밤』세상에 마지막 하나 남은 흰바위코뿔소와코뿔소 품에서 태어난 어린 펭귄.그땐 기적인 줄 몰랐다, 머리부터 발끝까지 모든 것이 다른 우리에게 서로밖에 없다는 게.『긴긴밤』은 우리의 삶이 촘촘하게 연결되어 있음을 보여 준다. 다리가 튼튼한 코끼리가 다리가 불편한 코끼리의 기댈 곳이 되어 주는 것처럼, 자연에서 살아가는 게 서툰 노든을 아내가 도와준 것처럼, 윔보가 오른쪽 눈이 보이지 않는 치쿠를 위해 항상 치쿠의 오른쪽에 서 있었던 것처럼, 앙가부가 노든의 이야기를 듣고 또 들어 준 것처럼, 작지만 위대한 사랑의 연대를 보여 준다._송수연(아동문학평론가)세상에 마지막 하나 남은 코뿔소가 된다면, 소중한 이를 다 잃고도 ‘마지막 하나 남은 존재’의 무게를 온 영혼으로 감당해야 한다면 어떠할까? 친구의 마지막 부탁을 들어주기 위해, 어린 생명이 마땅히 있어야 할 안전한 곳을 찾아 주기 위해 본 적도 없는 바다를 향해 가는 마음은 어떤 것일까?이 책은 지구상의 마지막 하나가 된 흰바위코뿔소 노든과 버려진 알에서 태어난 어린 펭귄이 수없는 긴긴밤을 함께하며, 바다를 찾아가는 이야기이다. 울퉁불퉁한 길 위에서 엉망인 발로도 다시 우뚝 일어설 수 있게 한 것은, 잠이 오지 않는 길고 컴컴한 밤을 기어이 밝힌 것은, “더러운 웅덩이에도 뜨는 별” 같은 의지이고, 사랑이고, 연대이다.펼쳐보기",코끼리 고아원 | 뿔 없는 코뿔소 | 버려진 알 | 파라다이스 | 첫 번째 기억 | 망고 열매 색 하늘 | 코뿔소의 바다 | 파란 지평선 | 심사평펼쳐보기
2014,4,고양이 해결사 깜냥 5: 편의점을 환하게 밝혀라!,홍민정,"종소리가 딸랑! 웃음이 와르르!편의점 문을 열면 근사한 하루를 선물해 드립니다!어린이 독자들의 뜨거운 사랑을 받아 온 화제의 베스트셀러 『고양이 해결사 깜냥』이 다섯 번째 이야기로 돌아왔다. 이번에는 깜냥이 편의점 직원으로 변신해 다양한 손님들을 맞이하며 벌어지는 일들을 그렸다. 저마다 다른 이유로 찾아왔지만, 편의점에서 깜냥을 만난 손님들의 얼굴에는 밝은 웃음이 가득하다. 새롭게 등장한 캐릭터 ‘하품이’의 매력을 발견하는 것도 5권을 읽는 큰 즐거움이다. 4권 이후 1년을 기다려 온 독자들의 부푼 기대에 부응할 신나는 이야기가 펼쳐진다.작품 줄거리쉴 곳을 찾아 편의점으로 온 떠돌이 고양이 깜냥. 편의점 주인은 깜냥을 내쫓으려다가 그 능청스러운 매력에 마음이 누그러진다. 그러던 중 사정이 생긴 점주를 대신해 깜냥 혼자 편의점을 지키게 된다. 만능 해결사답게 가게도 정리하고 손님맞이도 척척 해내던 중, 깜냥 앞에 의문의 고양이 ‘하품이’가 나타난다. 동네 토박이답게 오는 손님마다 누가 무엇을 살지 척척 알아맞히는 편의점 척척박사지만, 사람을 대하는 건 아직 낯설고 두려운 하품이는 깜냥의 살뜰한 챙김 덕에 점점 자신감을 얻는다. 티격태격하며 손발을 맞춰 가는 두 고양이는 과연 마음을 나누는 친구가 될 수 있을까? 세상에서 가장 사랑스럽고 신나는 편의점 대소동이 펼쳐진다.펼쳐보기",얼마예요?동네 고양이 하품이일 더하기 일의 마법두근두근 생일 파티편의점 고양이 깜냥입니다깜냥의 말펼쳐보기
2014,5,흔한남매 과학 탐험대 7: 생물 1,"김언정, 정현철, 흔한남매, 이현진, 김희목","카이스트 과학영재교육연구원 연구진 기획 및 감수흔한남매와 떠나는 흥미진진 과학 대모험교과서를 통째로 넣은 초등 과학 입문서의 결정판!냐하~! 요절복통 장난꾸러기 흔한남매와 함께하는 과학 첫걸음.《흔한남매 과학 탐험대》 시리즈는 과학을 처음 접하는 아이들이 과학의 주요 내용을 미리 맛볼 수 있는 초등 과학 입문서이다. 흔한남매가 최고의 과학 전문가들과 함께 우주, 지구와 달, 우리 몸, 정글 등을 여행하며 쉽고 재미있게 과학 지식을 배운다. 초등학교 과학 교과서의 내용을 모두 담았고, 생활 과학 정보, 과학 관련 최근 이슈, 우리나라 관련 정보들을 더했다. 흔한남매와 함께라면 학교에서 처음 배우는 과학이 두렵지 않다!가상 현실 게임 속 탐험에 이어 이번엔 강과 호수, 갯벌, 바다에서 살고 있는 다양한 생물들을 만나 본다. 사라진 바닐라를 찾아 달라며 갑자기 나타난 간식단. 그동안의 악행을 생각하면 도와주고 싶지 않지만, 이전에 간식단의 도움으로 게임 세계에서 무사히 빠져나왔으니 이번에는 우리가 도와주지, 뭐. 그런데 새로운 젤리를 다른 사람이 먼저 차지한 것 같아. 게다가 보이지 않는 적까지 등장! 남매는 과연 이들의 방해를 물리치고 바닐라와 새로운 젤리를 모두 찾을 수 있을까?!펼쳐보기","1. 생물의 한살이① 바닐라, 간식단을 배신하다 22# 씨가 싹 트는 조건 # 식물의 한살이 # 한해살이 식물 # 여러해살이 식물- 에이미의 교과서 플러스 식물이 싹을 틔우는 데 무엇이 필요할까? 41② 한밤중의 사마귀 대소동 42# 동물의 한살이 # 완전 탈바꿈 # 곤충# 불완전 탈바꿈- 에이미의 교과서 플러스 암컷과 수컷, 무엇이 다를까? 612. 강이나 호수에 사는 생물① 의문의 메시지를 따라서 64# 물과 땅을 오가며 사는 동물 # 물에서 사는 동물의 특징- 에이미의 교과서 플러스 물속 곤충은 어떻게 호흡을 할까? 81② 갈대숲의 낯선 그림자 82# 물에서 사는 식물의 특징 # 적응 # 식물의 뿌리 # 식물의 줄기- 에이미의 교과서 플러스 우리도 식물의 줄기야! 99- 흔한 놀이터 빼앗긴 아이템 찾아주기 1003. 바다에 사는 생물① 풍요로운 검은 땅, 갯벌 102# 갯벌 # 갯벌의 가치 # 갯벌에 사는 동물- 에이미의 교과서 플러스 바닷가에도 식물이 살 수 있을까? 121② 바다의 진짜 강자는 누구? 122# 바다에 사는 동물 # 바다 동물의 이동 방법- 에이미의 교과서 플러스 미역이 식물이 아니라고? 141- 흔한 놀이터 비밀 기지 미로 찾기 1424. 생물 분류와 생체 모방① 분류의 달인 스트로베리 144# 분류 # 분류 기준 # 동물 분류 # 식물 분류- 에이미의 교과서 플러스 식물은 어떻게 분류할까? 161② 보이지 않는 적 162# 동물의 특징 모방 # 식물의 특징 모방- 에이미의 교과서 플러스 알고 보면 엄청난 동물 따라하기 179- 흔한 놀이터 동물 퍼즐 조각 맞추기 180정답 182용어 설명 183             찾아보기 184펼쳐보기"
2014,6,흔한남매 12,"백난도, 흔한남매, 백난도/유난희 그림/흔한컴퍼니 감수","개성 만점 으뜸이 채널, 공포의 버스 안내 방송, 떡볶이 뷔페에 간 흔한남매, 으뜸이의 최악의 생일 파티, 상상 속 방학과 현실 속 방학의 차이, 엄지의 비밀 일상 등 흔한남매의 일상 속엔 생기 넘치는 공감과 웃음이 가득하다.‘흔한남매’는 유튜브 구독자 수가 243만 명, 누적 조회 수가 27억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있다. 상황극콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있다.흔한남매가 선물하는 포근포근한 웃음과 공감!개성 만점 으뜸이 채널, 공포의 버스 안내 방송, 떡볶이 뷔페에 간 흔한남매, 으뜸이의 최악의 생일 파티, 상상 속 방학과 현실 속 방학의 차이, 엄지의 비밀 일상 등 마음이 포근해지는 흔한 일상 속으로 떠나 볼까요?유튜브 243만 구독 돌파! 인기 크리에이터 흔한남매‘흔한남매’는 유튜브 구독자 수가 243만 명, 누적 조회 수가 27억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극？콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다.흔한남매가 선사하는 유쾌한 우애와 순수한 웃음!《흔한남매 12》는 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 유쾌한 우애와 순수한 웃음을 선사할 것입니다.펼쳐보기",01화 잘생겨서 안 좋은 점02화 개성 만점 으뜸이 채널알쏭달쏭 다른 그림 찾기03화 전교 회장 선거에 나간 으뜸이04화 공포의 버스 안내 방송꼬불꼬불 미로 찾기05화 오락실에 간 흔한남매06화 슬픔을 잊게 하는 매콤한 떡볶이요리 금손 으뜸이의 시크릿 레시피07화 꿈에 나올까 무서운 공감 포인트08화 최악의 생일 파티?!믿거나 말거나 심리 테스트09화 크리스마스 선물 받기 대작전10화 데이지의 오디션 도전!꼭꼭 숨어라! 숨은그림찾기11화 엄지의 비밀 일상!12화 상상 속 방학 VS 현실 속 방학우당탕탕 홈 비디오01화 잘생겨서 안 좋은 점02화 개성 만점 으뜸이 채널알쏭달쏭 다른 그림 찾기03화 전교 회장 선거에 나간 으뜸이04화 공포의 버스 안내 방송꼬불꼬불 미로 찾기05화 오락실에 간 흔한남매06화 슬픔을 잊게 하는 매콤한 떡볶이요리 금손 으뜸이의 시크릿 레시피07화 꿈에 나올까 무서운 공감 포인트08화 최악의 생일 파티?!믿거나 말거나 심리 테스트09화 크리스마스 선물 받기 대작전10화 데이지의 오디션 도전!꼭꼭 숨어라! 숨은그림찾기11화 엄지의 비밀 일상!12화 상상 속 방학 VS 현실 속 방학우당탕탕 홈 비디오？펼쳐보기
2014,7,설민석의 한국사 대모험 23,"설민석, 설민석, 스토리박스/정현희 그림/강석화 감수","*누적 판매 500만 부 돌파!*초등학습만화 시리즈 베스트셀러!*현직 초등 교사의 강력 추천!우리 아이 한국사 첫걸음,〈설민석의 한국사 대모험〉으로 시작하세요!2017년 1권이 처음 출간된 이래, 누적 판매 부수 500만 부라는 경이적인 수치를 기록하며 대한민국 대표 어린이 역사책으로 굳건히 자리매김한 〈설민석의 한국사 대모험〉! 〈설민석의 한국사 대모험〉은 아이들이 처음 접하는 한국사를 재미있는 만화와 깊이 있는 부록으로 쉽고, 재미있고, 유익하게 전달합니다. 이 책은 우리 아이들이 놀이하듯 즐겁게 한국사를 접하며 한국사에 관심을 가지고, 나아가 한국사를 사랑하는 어린이로 성장하게 도와줄 것입니다. 〈설민석의 한국사 대모험〉 23권에서는 조선 인조 대에 일어난 병자호란을 재미있는 만화로 담아냈습니다. 병자호란이 일어난 배경과 전개 과정, 결과를 〈설민석의 한국사 대모험〉 23권에서 확인해 보세요!감수자의 말〈설민석의 한국사 대모험〉은 신나는 모험 이야기를 통해 역사 지식을 전달하는, 새로운 앎과 흥미를 모두 갖춘 책입니다. 어려운 용어와 낯선 인물로 가득한 역사책이 아닌, 어린이 스스로 실제 모험 속 주인공이 된 듯 이야기를 즐기다 보면 저절로 우리 역사를 익히게 될 것입니다.강석화(경인교육대학교 사회과교육과 교수)우리 아이 한국사 첫걸음,〈설민석의 한국사 대모험〉으로 시작하세요!2017년 1권이 처음 출간된 이래, 누적 판매 부수 500만 부라는 경이적인 수치를 기록하며 대한민국 대표 어린이 역사책으로 굳건히 자리매김한 〈설민석의 한국사 대모험〉! 〈설민석의 한국사 대모험〉은 아이들이 처음 접하는 한국사를 재미있는 만화와 깊이 있는 부록으로 쉽고, 재미있고, 유익하게 전달합니다. 이 책은 우리 아이들이 놀이하듯 즐겁게 한국사를 접하며 한국사에 관심을 가지고, 나아가 한국사를 사랑하는 어린이로 성장하게 도와줄 것입니다. 〈설민석의 한국사 대모험〉 23권에서는 조선 인조 대에 일어난 병자호란을 재미있는 만화로 담아냈습니다. 병자호란이 일어난 배경과 전개 과정, 결과를 〈설민석의 한국사 대모험〉 23권에서 확인해 보세요!23권 줄거리피란을 떠나는 인조를 만나다!역사 터널에서 의문의 공격을 받고 낯선 장소로 떨어진 설쌤 일행! 그런데 평강이 보이지 않습니다. 평강을 찾아 헤매던 설쌤과 온달, 로빈은 별안간 군사들에게 포위되는데요. 바로 병자호란 때 남한산성으로 몸을 피하던 인조의 행렬을 만나게 된 것이죠. 설쌤과 온달, 로빈은 인조와 함께 남한산성으로 들어가고, 온달은 평강을 찾기 위해 남한산성의 안팎을 오가며 정탐꾼 역할을 합니다. 과연 온달은 평강을 다시 만날 수 있을까요? 또 조선의 운명은 어떻게 될까요?펼쳐보기","머리말 4이 책의 구성과 특징 6등장인물 8프롤로그 온달, 집으로 10제1화 남한산성을 가다 23제2화 남한산의 불사신 51제3화 너와 나의 암호 107퀴즈 만화를 읽고 나면 문제도 풀려요! 179퀴즈 정답과 해설을 확인해요! 189〈설민석의 한국사 대모험〉 교과 연계표 194머리말 4이 책의 구성과 특징 6등장인물 8프롤로그 온달, 집으로 10제1화 남한산성을 가다 23제2화 남한산의 불사신 51제3화 너와 나의 암호 107퀴즈 만화를 읽고 나면 문제도 풀려요! 179퀴즈 정답과 해설을 확인해요! 189〈설민석의 한국사 대모험〉 교과 연계표 194펼쳐보기"
2014,8,흔한남매의 흔한 호기심 8,"안치현, 흔한남매/유난희 그림/이정모, 흔한컴퍼니 감수","흔한남매와 함께하는일상 속 호기심 발굴 대작전!구독자 수 246만 명의 인기 유튜브 크리에이터, 흔한남매가 과학 학습 만화로 찾아왔습니다. 학습 만화라서 어렵고 딱딱할 것이라는 생각은 금물! 이 책은 유머러스한 에피소드 '만화'와 말랑말랑한 과학 '정보' 페이지, 핵심 키워드를 담은 '퀴즈', 그리고 마지막으로 성취감을 길러 줄 '특별 칭찬 상장'까지 지루할 틈 없는 흥미로운 구성으로 가득하니까요. 《흔한남매의 흔한 호기심》으로 배꼽 잡는 재미와 과학 호기심을 동시에 잡아 보세요.궁금해 죽겠지? 궁금해 죽겠네! 일상에서 만나는 과학 호기심 18개 수록과거에 살았던 생물체의 뼈나 이빨, 껍데기 같은 몸의 일부분 혹은 발자국 등의 흔적이 지층에 남은 것을 ‘화석’이라고 해요. 우리는 화석을 통해 옛날에 지구에 살았던 생물의 종류와 특징 등 다양한 정보를 얻을 수 있지요. 《흔한남매의 흔한 호기심》 8권에서는 ‘화석은 어떻게 만들어질까?’, ‘공룡은 어느 시대에 살았을까?’, ‘통증은 왜 느껴질까?’, ‘상처가 나면 왜 딱지가 생길까?’ 등 일상에서 한 번쯤은 궁금증을 느껴 봤을 18개의 호기심을 모았습니다.펼쳐보기","1화 개그에는 고통이 따르는 법 08통증은 왜 느껴질까?2화 친절한 심부름꾼 16상처가 나면 왜 딱지가 생길까?3화 에이미 네일 숍에 어서 오세요! 24손톱은 어떻게 자라는 걸까?4화 따봉이 이사 가는 날 32어항 물은 왜 오래되면 녹색이 될까?5화 완벽한 연기는 힘들어!  40고양이는 왜 자꾸 털을 핥을까?6화 흔한 셰프의 비밀 레시피 48생선을 익히면 왜 단단해질까?몸풀기 퀴즈 ○1 567화 된장찌개에서 보물찾기 58조개는 어떻게 진주를 만들까?8화 긴급 출동! 흔한 구조대 66동물은 왜 겨울잠을 잘까?9화 아기 새 구하기 대작전! 74새는 어떻게 둥지를 만들까?10화 에이미의 위대한 발견?! 82화석은 어떻게 만들어질까?11화 공룡 시대로 간 흔한남매! 1 90공룡은 어느 시대에 살았을까?12화 공룡 시대로 간 흔한남매! 2 98공룡은 왜 멸종되었을까?몸풀기 퀴즈 ○2 10613화 도전, 낚시왕! 108얼어붙은 호수 속 물고기는 왜 얼어 죽지 않을까?14화 빙판 위의 뜨거운 승부 116회전하는 팽이는 왜 쓰러지지 않을까?15화 짧지만 뜨거웠던 사랑 124일회용 손난로는 왜 흔들면 따뜻해질까?16화 사랑이 싹트는 비닐하우스 132비닐하우스는 왜 겨울에도 따뜻할까?17화 너무도 따뜻했던 밤 140온돌은 어떻게 방을 따뜻하게 데울까?18화 불꽃 같은 고백 148폭죽의 불꽃은 어떻게 다양한 색깔을 낼까?몸풀기 퀴즈 ○3 156호기심 레벨 업 158특별 칭찬 상장 163펼쳐보기"
2014,9,이상한 과자 가게 전천당 17,히로시마 레이코/김정화 역/쟈쟈 그림,"“…이 사람들도 나와 똑같이 괴로워하고 있을까?”불행 손님들, 전천당을 노리다!베니코와의 대결로 연구소까지 잃게 된 로쿠조. 하지만 아직 끝나지 않았다!무너진 줄로만 알았던 로쿠조는 이번엔 의문의 남자와 함께 나타난다. 탁한 눈빛에 음흉한 분위기를 풍기는 그 역시 과거 〈전천당〉에 다녀온 손님이라는데… 과연 남자에게는 어떤 사연이 있을까?한편 평화를 되찾은 〈전천당〉은 다시 가게 문을 활짝 열었다. 줬던 물건을 다시 뺏고 싶은 아이는 〈빼앗겠떡〉을, 친구들의 눈치를 살피느라 매일 지치는 아이는 〈배짱 땅콩〉을, 어른이 되어서도 주사가 무서운 남자는 〈무통방통 초콜릿〉을 산다.《이상한 과자 가게 전천당 17권》에서는 평화를 되찾은 것처럼 보이는 〈전천당〉과 그 뒤로 드리워진 불행 손님들의 음모가 긴장감 있게 펼쳐진다. 한때는 행운 손님이었으나 이제 악의와 분노에 휩싸인 이들이 다시 한번 베니코를 위험에 빠뜨리려 한다.펼쳐보기",프롤로그  …………… 7빼앗겠떡  …………… 13규칙 캐러멜  …………… 37미니멀 떡꼬치 …………… 63어느 집 서재에서  …………… 87배짱 땅콩  …………… 93무통방통 초콜릿  …………… 115스카우트 만주  …………… 143에필로그 …………… 163‘냐하하’ 날마다 즐거워 (3) …………… 172펼쳐보기
2014,10,마법천자문 56: 보통과 아주 다르다! 특별,유대영/정수영 그림/강용철 감수,"대한민국 어린이들의 필독서이자 AR로 즐기는 국내 유일의 한자 학습만화 『마법천자문』!염화의 능력자로 사람들의 관심을 한 몸에 받는 오공!관리부 대장 사이온은 오공이 혼란을 조장한다고 생각해 못마땅하다.드디어 소스시티 최대의 축제인 리더 등록 축제가 개막되고,리더 시험을 치르러 간 오공 앞에는 한 번 찍히면 합격이 매우 어렵기로 소문난 감독관이 나타나는데….오공과 시엔, 크레스는 지네 괴물이 불에 약하다는 걸 알아차린다. 하지만 오공의 염화 마법으로도 지네 괴물에게 큰 타격을 입히지 못하자, 시엔이 그 자리에 있는 모두의 힘을 합쳐 괴물을 퇴치할 좋은 방법을 제안한다. 한편, 광부 대장과 광부들이 목숨 걸고 마정석을 안정시키는 현장에 수상한 노인이 나타나, 비범한 능력으로 폭발 직전의 마정석들을 물에 가라앉히며 도시를 구해 낸다.또 한편, 각양각색의 능력을 지닌 삼국의 리더들이 하나같이 두려워하는 존재, ‘악마의 관리부 대장’이라는 별명을 가진 사이온은 염화의 능력을 사용하는 오공을 체포하려고 한다. 오공을 찾은 사이온은 오공이 특별 관리 대상이라며 순순히 따라오라고 명하고, 이를 거부한 오공에게 공격을 퍼붓는다. 아람치는 오공을 구하기 위해 능력을 사용하는데, 사이온은 아람치의 능력을 비웃고 모욕한다. 그때, 사이온의 직속 부하인 니아가 나타나 오공을 잡아가는 일은 리더 등록 때까지 기다리라는 상부의 지시를 전한다. 사이온은 등록 때까지 기다려 주겠다고 말하고, 오공은 그때 아람치를 모욕한 빚을 받아 내겠다고 말하며 헤어진다.시간이 흘러, 드디어 소스시티 최고의 축제인 ‘리더 등록 축제’가 개막된다. 오공과 아람치 모두 리더 등록 시험에 응시하기로 하는데, 올해 처음으로 리더에 도전한 아람치는 벌벌 떨며 시험장으로 간다. 그리고 오공 앞에는 한 번 찍히면 리더 등록이 매우 어렵기로 소문난 감독관이 나타나는데…. 과연 오공과 아람치 둘 다 시험에 합격해 소스시티 사람들이 부러워하는 ‘리더’가 될 수 있을까?펼쳐보기",1. 하나 되는 마음2. 새로운 움직임3. 리더 등록법4. 새로운 만남5. 리더 등록 축제 시작!6. 리더 아카데미 입학ㆍ 미리보기ㆍ 실전 테스트ㆍ 나만의 문장 만들기펼쳐보기
